CORE_otu	db_id	source	ISR_len	genus	family	order	class	phylum
Abiotrophia defectiva	SEQ13381	Abiotrophia defectiva ATCC 49176	258	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes
Abiotrophia defectiva	SEQ8279	Abiotrophia sp. HMSC24B09	431	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes
Abiotrophia defectiva	SEQ13380	Abiotrophia defectiva ATCC 49176	478	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes
Acetobacter pasteurianus	SEQ570	Acetobacter pasteurianus 3P3	831	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11339	Acetobacter sp. SLV-7	747	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11337	Acetobacter pasteurianus	745	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ8436	Acetobacter pasteurianus subsp. pasteurianus	741	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11328	Acetobacter pasteurianus 386B	747	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11334	Acetobacter pasteurianus subsp. ascendens	747	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11332	Acetobacter pasteurianus subsp. ascendens	747	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11329	Acetobacter pasteurianus IFO 3283-01	747	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11331	Acetobacter pasteurianus subsp. paradoxus	746	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11330	Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471	747	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11338	Acetobacter pomorum	747	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11335	Acetobacter pasteurianus subsp. ascendens	747	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Acetobacter pasteurianus	SEQ11336	Acetobacter aceti 1023	745	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria
Achromobacter xylosoxidans	SEQ11421	Achromobacter xylosoxidans	635	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Achromobacter xylosoxidans	SEQ11363	Achromobacter xylosoxidans	633	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ9848	Acidovorax sp. SD340	813	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ11081	Acidovorax delafieldii 2AN	448	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16809	Acidovorax valerianellae	625	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16802	Acidovorax sp. Leaf84	664	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16805	Comamonadaceae bacterium CCH12-A10	668	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ9898	Acidovorax oryzae ATCC 19882	832	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ8287	Comamonadaceae bacterium CCH4-C5	426	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16799	Acidovorax avenae subsp. avenae ATCC 19860	639	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16798	Acidovorax avenae	639	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ8370	Comamonadaceae bacterium CCH12-A10	871	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16797	Acidovorax avenae subsp. avenae ATCC 19860	639	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16803	Acidovorax sp. Leaf191	664	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ11082	Acidovorax soli	703	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ10498	Acidovorax sp. CF316	197	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ8246	Acidovorax citrulli ZJU1106	954	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16793	Acidovorax citrulli	640	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ8594	Acidovorax sp. CF316	167	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ9695	Acidovorax citrulli ZJU1106	108	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16801	Acidovorax sp. CF316	709	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ16808	Acidovorax wautersii	654	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ10901	Acidovorax soli	784	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
Acidovorax cattleyae	SEQ9800	Comamonadaceae bacterium CCH4-C5	694	unclassified Comamonadaceae	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
